Country,Confirmed,Deaths,Recovered
Equatorial Guinea,439,4,13
Venezuela,423,10,205
Palestine,375,4,382
Chad,357,40,76
Sierra Leone,338,20,72
Congo,333,11,53
Mauritius,332,10,322
Isle of Man,331,23,272
Benin,327,2,76
Montenegro,324,9,298
Jersey,295,26,226
Vietnam,288,0,252
Rwanda,286,0,153
Luhansk PR,275,2,12
Cape Verde,267,2,58
Ethiopia,261,5,106
Guernsey,252,13,229
São Tomé & Príncipe,220,6,4
Nepal,217,0,33
Liberia,212,20,86
Haiti,209,16,17
Donetsk PR,199,5,27
Togo,199,11,92
South Sudan,194,0,2
Madagascar,192,0,105
Faroe Islands,187,0,187
Myanmar,180,6,76
Eswatini,184,2,28
Guam,152,5,128
Costa Atlantica,148,0,0
Gibraltar,148,0,144
Central African Republic,143,0,10
Brunei,141,1,134
Greg Mortimer,128,0,No data
Uganda,126,0,55
Cambodia,122,0,121
Bermuda,121,8,66
Trinidad & Tobago,116,8,107
Guyana,113,10,36
Northern Cyprus,108,4,104
Mozambique,104,0,34
Aruba,101,3,89
Monaco,96,4,87
Bahamas,93,11,39
Cayman Islands,85,1,50
Barbados,84,7,57
Liechtenstein,82,1,55
Sint Maarten,76,15,46
U.S. Virgin Islands,69,6,60
Yemen,65,10,1
Libya,64,3,28
French Polynesia,60,0,58
Malawi,58,3,24
Somaliland,48,0,15
Syria,47,3,29
Angola,45,2,14
Macau,45,0,42
Mongolia,42,0,13
Eritrea,39,0,37
Zimbabwe,36,4,9
Nicaragua,25,8,7
Antigua & Barbuda,24,3,11
East Timor,24,0,21
Botswana,24,1,17
South Ossetia,23,0,0
The Gambia,23,1,10
Grenada,21,0,13
Laos,19,0,13
Northern Mariana Islands,19,2,12
Belize,18,2,16
Fiji,18,0,14
New Caledonia,18,0,18
Saint Lucia,18,0,17
Saint Vincent,17,0,9
Curaçao,16,1,14
Dominica,16,0,15
Namibia,16,0,11
Burundi,15,1,7
Saint Kitts & Nevis,15,0,14
Artsakh,14,0,8
Abkhazia,13,1,2
Falkland Islands,13,0,13
MS Zaandam,13,4,No data
Turks & Caicos Islands,12,1,8
Vatican City,12,0,2
Bhutan,11,0,5
Comoros,11,1,0
Greenland,11,0,11
Montserrat,11,1,8
Seychelles,11,0,7
Suriname,10,1,9
Mauritania,9,1,6
HNLMS Dolfijn,8,0,No data
Papua New Guinea,8,0,8
British Virgin Islands,7,1,3
Anguilla,3,0,3
Bonaire,2,0,2
Saba,2,0,2
Sint Eustatius,2,0,2
Saint Pierre & Miquelon,1,0,1
